,column,dtype,missing_count,missing_pct,mean,std,min,25%,median,75%,max,range_days,true_count,true_pct,false_count,false_pct
33,elix_aids_hiv,bool,0,0.0,,,,,,,,,48.0,0.47,10080.0,99.53
34,elix_lymphoma,bool,0,0.0,,,,,,,,,77.0,0.76,10051.0,99.24
35,elix_paralysis,bool,0,0.0,,,,,,,,,2.0,0.02,10126.0,99.98
36,elix_psychoses,bool,0,0.0,,,,,,,,,20.0,0.2,10108.0,99.8
37,elix_depression,bool,0,0.0,,,,,,,,,1611.0,15.91,8517.0,84.09
38,elix_drug_abuse,bool,0,0.0,,,,,,,,,106.0,1.05,10022.0,98.95
39,elix_weight_loss,bool,0,0.0,,,,,,,,,52.0,0.51,10076.0,99.49
40,elix_coagulopathy,bool,0,0.0,,,,,,,,,225.0,2.22,9903.0,97.78
41,elix_alcohol_abuse,bool,0,0.0,,,,,,,,,202.0,1.99,9926.0,98.01
42,elix_liver_disease,bool,0,0.0,,,,,,,,,315.0,3.11,9813.0,96.89
43,elix_renal_failure,bool,0,0.0,,,,,,,,,396.0,3.91,9732.0,96.09
44,elix_hypothyroidism,bool,0,0.0,,,,,,,,,927.0,9.15,9201.0,90.85
45,elix_valvular_disease,bool,0,0.0,,,,,,,,,366.0,3.61,9762.0,96.39
46,elix_blood_loss_anemia,bool,0,0.0,,,,,,,,,30.0,0.3,10098.0,99.7
47,elix_deficiency_anemia,bool,0,0.0,,,,,,,,,226.0,2.23,9902.0,97.77
48,elix_metastatic_cancer,bool,0,0.0,,,,,,,,,604.0,5.96,9524.0,94.04
49,elix_cardiac_arrhythmia,bool,0,0.0,,,,,,,,,963.0,9.51,9165.0,90.49
50,elix_rheumatoid_arhritis,bool,0,0.0,,,,,,,,,430.0,4.25,9698.0,95.75
51,elix_diabetes_complicated,bool,0,0.0,,,,,,,,,321.0,3.17,9807.0,96.83
52,elix_diabetes_uncomplicated,bool,0,0.0,,,,,,,,,1315.0,12.98,8813.0,87.02
53,elix_congestive_heart_failure,bool,0,0.0,,,,,,,,,255.0,2.52,9873.0,97.48
54,elix_hypertension_complicated,bool,0,0.0,,,,,,,,,48.0,0.47,10080.0,99.53
55,elix_chronic_pulmonary_disease,bool,0,0.0,,,,,,,,,1325.0,13.08,8803.0,86.92
56,elix_solid_tumor_wo_metastasis,bool,0,0.0,,,,,,,,,852.0,8.41,9276.0,91.59
57,elix_hypertension_uncomplicated,bool,0,0.0,,,,,,,,,3789.0,37.41,6339.0,62.59
58,elix_other_neurological_disorder,bool,0,0.0,,,,,,,,,340.0,3.36,9788.0,96.64
59,elix_peripheral vascular_disorder,bool,0,0.0,,,,,,,,,398.0,3.93,9730.0,96.07
60,elix_pulmonary_circulation_disorder,bool,0,0.0,,,,,,,,,214.0,2.11,9914.0,97.89
61,elix_fluid_and_electrolyte_disorders,bool,0,0.0,,,,,,,,,164.0,1.62,9964.0,98.38
62,elix_peptic_ulcer_disease_excluding_bleeding,bool,0,0.0,,,,,,,,,229.0,2.26,9899.0,97.74
63,validation_cur_tobacco,bool,0,0.0,,,,,,,,,402.0,3.97,9726.0,96.03
64,validation_fmr_tobacco,bool,0,0.0,,,,,,,,,433.0,4.28,9695.0,95.72
65,shx_cervical_fusion,bool,0,0.0,,,,,,,,,323.0,3.19,9805.0,96.81
66,shx_cervical_surgery,bool,0,0.0,,,,,,,,,265.0,2.62,9863.0,97.38
67,shx_thoracolumbar_fusion,bool,0,0.0,,,,,,,,,374.0,3.69,9754.0,96.31
68,shx_thoracolumbar_surgery,bool,0,0.0,,,,,,,,,3268.0,32.27,6860.0,67.73
69,shx_unspecified_spine_fusion,bool,0,0.0,,,,,,,,,142.0,1.4,9986.0,98.6
70,shx_unspecified_spine_surgery,bool,0,0.0,,,,,,,,,1975.0,19.5,8153.0,80.5
71,lumbar_stenosis,bool,0,0.0,,,,,,,,,2712.0,26.78,7416.0,73.22
72,lumbar_spondy,bool,0,0.0,,,,,,,,,170.0,1.68,9958.0,98.32
73,lumbar_disc_disorders,bool,0,0.0,,,,,,,,,3833.0,37.85,6295.0,62.15
74,cervical_disc_diorders,bool,0,0.0,,,,,,,,,654.0,6.46,9474.0,93.54
75,cervical_stenosis,bool,0,0.0,,,,,,,,,235.0,2.32,9893.0,97.68
76,cervical_spondy,bool,0,0.0,,,,,,,,,2.0,0.02,10126.0,99.98
77,cervical_disc_herniation,bool,0,0.0,,,,,,,,,497.0,4.91,9631.0,95.09
78,lumbar_disc_herniation,bool,0,0.0,,,,,,,,,3098.0,30.59,7030.0,69.41
79,spine_preop_pseudoarthrosis_post_fusion,bool,0,0.0,,,,,,,,,0.0,0.0,10128.0,100.0
80,spine_preop_post_laminectomy_syndrome,bool,0,0.0,,,,,,,,,77.0,0.76,10051.0,99.24
81,preop_med_90days_ace_inhibitor,Int64,0,0.0,,,,,,,,,630.0,6.22,9498.0,93.78
82,preop_med_90days_arb,Int64,0,0.0,,,,,,,,,458.0,4.52,9670.0,95.48
83,preop_med_90days_antidepressant,Int64,0,0.0,,,,,,,,,865.0,8.54,9263.0,91.46
84,preop_med_90days_beta_2_agonist,Int64,0,0.0,,,,,,,,,908.0,8.97,9220.0,91.03
85,preop_med_90days_beta_blocker,Int64,0,0.0,,,,,,,,,3251.0,32.1,6877.0,67.9
86,preop_med_90days_benzodiazepine,Int64,0,0.0,,,,,,,,,3525.0,34.8,6603.0,65.2
87,preop_med_90days_immunosuppresant,Int64,0,0.0,,,,,,,,,5118.0,50.53,5010.0,49.47
88,preop_med_90days_nsaid,Int64,0,0.0,,,,,,,,,3440.0,33.97,6688.0,66.03
89,preop_med_90days_opioid,Int64,0,0.0,,,,,,,,,6030.0,59.54,4098.0,40.46
90,preop_med_90days_anti_psychotic,Int64,0,0.0,,,,,,,,,3465.0,34.21,6663.0,65.79
91,preop_med_90days_neuromodulator,Int64,0,0.0,,,,,,,,,1632.0,16.11,8496.0,83.89
92,preop_med_90days_biphosphonate,Int64,0,0.0,,,,,,,,,14.0,0.14,10114.0,99.86
93,preop_med_90days_loop_diuretic,Int64,0,0.0,,,,,,,,,157.0,1.55,9971.0,98.45
94,preop_med_90days_thiazide_diuretic,Int64,0,0.0,,,,,,,,,414.0,4.09,9714.0,95.91
95,preop_med_90days_cinacalcet,Int64,0,0.0,,,,,,,,,1.0,0.01,10127.0,99.99
96,preop_med_90days_insulin,Int64,0,0.0,,,,,,,,,354.0,3.5,9774.0,96.5
97,preop_med_90days_oral_diabetes,Int64,0,0.0,,,,,,,,,368.0,3.63,9760.0,96.37
98,preop_med_90days_calcium_supplement,Int64,0,0.0,,,,,,,,,1189.0,11.74,8939.0,88.26
99,preop_med_90days_vit_d_supplement,Int64,0,0.0,,,,,,,,,225.0,2.22,9903.0,97.78
100,OR_length_minutes,Int64,1,0.01,146.37681445640368,55.7172523883822,5,109,135.0,169,782,,,,,
101,cpt_multilevel,bool,0,0.0,,,,,,,,,2460.0,24.29,7668.0,75.71
102,cpt_instrumentation,bool,0,0.0,,,,,,,,,42.0,0.41,10086.0,99.59
103,cohort_query_microdisc,bool,0,0.0,,,,,,,,,7059.0,69.7,3069.0,30.3
104,anesthesia_type_General,Int64,72,0.71,,,,,,,,,10024.0,99.68,32.0,0.32
105,procedure_setting_Inpatient,Int64,1,0.01,,,,,,,,,6811.0,67.26,3316.0,32.74
106,High_Health_Utilizer,bool,0,0.0,,,,,,,,,2030.0,20.04,8098.0,79.96
